Username,Title,Body,Date
Tay Chye Yuen,Color accessibility: tools and resources to help you design inclusive products,"All the resources, tips and tools I regularly use to build and check the color accessibility of my products in one place. Enjoy.",May 23
Joe Lalley,What is the design process? — and why every designer should know about it,"At the beginning of my career as a UX / UI designer, I didn’t know how to start a project and what were the ways to lead it. Later on…",May 23
Stéphanie Walter,Is your digital product actually working?,The right questions to ask about your digital products to know if it’s earning its keep,Apr 9
Anastasia Prokhorova,Collaborative Design Sessions 101,"Update (May 21, 2019): I’ve made some changes to this article — including the title, but the core message remains the same, spiced up with…",May 24
Abel Maningas,Asking about the future in user research,And why this method never works out well,May 23
Gustavo da Cunha Pimenta,Designing for accessibility is not that hard,Seven easy-to-implement guidelines to design a more accessible web ❤️,"Aug 16, 2018"
Nikki Anderson,How to build a better product with UX writing,"The more I read about interfaces and copy, the more I see people claiming that interfaces must be user-oriented, and it’s time we changed…",May 25
Elliot L'Angelier,Scarcity in UX: The psychological bias that became the norm,Short analysis on the current state of affairs and a few tips to keep in mind.,May 29
Pablo Stanley,Prescriptive and descriptive labels,The categories we impose on the world have an important effect in how we perceive it and each other.,"Jun 27, 2018"
Anastasiia Marushevska,An intro to Machine Learning for designers,The basics of machine learning and how to apply it to the products you are building right now.,"May 22, 2018"
David Teodorescu,A DevTools for Designers,"In 2010, Jeffrey Zeldman wrote “An InDesign for HTML and CSS?”, which explored the idea of a web prototyping tool, accessible and familiar…","Feb 9, 2018"
Jorge Arango,How to look at evidence and not translate it into your own agenda,"True empathy is hearing and understanding in order to implement solutions to meet the actual user needs, not just our interpretation of…","Jan 28, 2018"
Sam Drozdov,100 days of motion design,How I taught myself to create 50 pieces of animation in 100 days,"May 31, 2018"
A.J. Kandy,Immersive design: the next 10 years of interfaces,A look into what happens when we design beyond a screen,"Mar 15, 2018"
Jasmine Friedl,The best new UX Books from the last 3 years,"A new generation of design and UX books published in 2015, 2016 and 2017, that have recently become part of my virtual collection.","Apr 23, 2018"
Tiantian Xu,The best Medium publications from design teams to follow,"Over the last two or three years, design teams from different types of companies have started to turn to Medium to share their thoughts and…","Aug 9, 2018"
Gabriel Valdivia,The best UX and design conferences in 2017,"A complete guide for designers who are looking for events and conferences to attend this year, or who are simply planning their next trip…","Mar 12, 2018"
Fabricio Teixeira,The best design/UX writers to follow on Medium,Here’s our selection with the best UX & Design authors to follow on Medium.,"Dec 10, 2016"
Fabricio Teixeira,The best YouTube channels for designers and developers,YouTube is slowly becoming the new TV – and people are relying more and more on it to get updates on the topics they care about. Here are…,"Aug 3, 2016"
Fabricio Teixeira,The best links to get started with Conversational UI and chatbots,A list or articles that we hope can be helpful in your next chatbot project.,"Jan 3, 2017"
Fabricio Teixeira,How I learned to be more human at one of Silicon Valley’s greatest Customer Success event,"My experience at Pulse 2019 — Gainsight event about Customer Success, Product-Led Growth and more","Sep 7, 2016"
Fabricio Teixeira,Design guidelines for voice user interfaces,Revisiting 10 usability heuristics for speech interaction,"Mar 7, 2017"
Caio Braga,Content Design is about more than content,Content designers should focus on more than words,"Aug 24, 2016"
Josias Oliveira,Defining user experience and beyond,"“User experience”, “user interface”. Two similar terms with two different meanings. Confusing, yes, but the confusion is common. It gets…",May 31
Marc Ericson Santos,It’s all about perspective,"Sorting out the confusion between UX, UI, Customer Experience and Project Management",May 30
Dolly Garland,Five strategies for applying to design jobs,Skip the job boards and make a strong personal connection with these five approaches,May 30
Mario Marhx,Should designers study psychoanalysis?,Psychoanalysis’ subjectivity allied to semiotics can change your perception about design.,May 30
Leslee Wood,Storytelling: the ultimate UX skill,"After nourishment, shelter and companionship, stories are the thing we need most in the world. — Philip Pullman.",May 30
Dan Shilov,The time a Design Studio Director made me feel like sh*t,"Your years of experience don’t define how good a designer you are, but your actions do",May 29
Raissa Tonon,You don’t really have much of a defense against manipulative designs online,Dark patterns work well. Too well. And there’s not much you can do about it.,May 29
Arturo Ríos,Eventbrite tracked anger and delight in UX,"In a recent post, we covered how Rachael Neumann’s role at Eventbrite’s Customer Experience saved building the wrong feature. In the same…",May 29
Jeremie Douchet,5 ways Post-It Notes can triple up design thinking,Post-it notes are perhaps an underrated design tool.,May 29
Yazin Akkawi,What are 5 evergreen books that every UX designer must read in 2019?,“There is no end to education.” — Jiddu Krishnamurthy,May 28
david jones,The power of Why for crafting stellar user experiences,"One of the most powerful tools that a UX designer or director can employ is the ability to ask “why?”. From an agile perspective, it helps…",May 28
Sarah Healy,A designer’s secret weapons: plugins and tools of the trade,"Tools, plugins, extensions, hacks, and tips and tricks to instantly make you the power user and alpha designer you always knew you were.",May 28
Surya Ravindran Pillai,Research craft and right-sizing,A colleague mentioned recently that UX Researchers are not encouraged to go deep in measurement or theory. The example was in measuring…,May 28
Michael Sim,This is the skill most “good” designers are missing,Hint: it’s product thinking,May 27
Christie Tang,UX checklists: how to tailor them to your needs,"There are plenty of UX methodologies out there. Things move fast, there is new information and new tools all the time. Each Product Team…",May 27
Brock Dubbels,5 reasons why I am transitioning from Technical Writing to UX Design,“How did you come to UX Design from Technical Writing?” is the most frequently asked question I receive from recruiters and UX…,May 26
Garron Engstrom,Ego & Agile: both brought me to the brink of failure,"In 2014, I started my first business, BackTracker, wanting to bask in the glory of being the next big thing. But my ego drew the company…",May 25
Hara Ledaki,Sign Me Up!,"Even though privacy concerns have been brought to the world’s notice after the infamous Facebook-Cambridge Analytica data scandal, users…",May 25
Aishah Griffin,Why this app may have one of the best UX?,What makes an app great? Liv may just have the solution,May 25
Henry Latham,Working as a UX designer,One of the things I love about sharing my experiences through writing this blog is the feedback I receive from readers. I find it…,May 25
Vasudha Mamtani,Design Tips: guiding team praise,"Design is fous and magical for most people outside of our profession. Most folks recognize the impact of good design, although…",May 25
Ashar Iqbal,"E-commerce & brick-and-mortar: Yes, we’re saying ‘&,’ not ‘vs.’","Or why you shouldn’t worry about  e-commerce against traditional stores but instead,  buying online versus buying in person.",May 24
Anton Sten,How to include research in your UX project?,10 easy ways to get insight into needs & pain points of users,May 24
Jason Coudriet,5 steps to designing a great user experience for your chatbot,This article was originally published on the SAP Conversational AI Blog under A Guide To Designing A Great UX For Your Chatbot by Shilpa…,May 24
Justo Guerin,What are machines learning?,And how might that change how we design products?,May 24
Natalia Sander,When should you hire a UX Writer? Yesterday!,There’s an old proverb that came to mind recently when I was thinking about the best time for a UX writer to come onboard a project.,May 24
Shilpa Tripathi,What New Technologies Mean for the Future of UX,A look at what’s to come,May 24
Andreas Wolters,Business beginners’ guide to UX in mobile,"Nomophobia refers to something very common, but it’s not as sophisticated as it may sound. It’s the fear of being out of cellular phone…",May 24
Joe Daniels,Dealing with deadlines as a designer,"Stop setting up ridiculous deadlines for your next product design. Also some hacks, if you’ve already set one.",May 24
